manager,rider,points
Nick,AYUSO Juan,232
Nick,VINGEGAARD Jonas,1579
Nick,VINE Jay,328
Nick,NARVÁEZ Jhonatan,291
Nick,TARLING Joshua,90
Nick,WILLIAMS Stephen,0
Nick,FORTUNATO Lorenzo,199
Nick,O'CONNOR Ben,314
Tim,PHILIPSEN Jasper,623
Tim,KOOIJ Olav,60
Tim,MERLIER Tim,342
Tim,PEDERSEN Mads,488
Tim,STRONG Corbin,307
Tim,CHRISTEN Jan,508
Tim,BLACKMORE Joseph,0
Tim,HINDLEY Jai,492
Cameron,HEALY Ben,146
Cameron,JORGENSON Matteo,416
Cameron,PIDCOCK Thomas,821
Cameron,ONLEY Oscar,183
Cameron,ROGLIČ Primož,311
Cameron,ARENSMAN Thymen,601
Cameron,GANNA Filippo,439
Cameron,ALAPHILIPPE Julian,29
Andy,EVENEPOEL Remco,1230
Andy,BRENNAN Matthew,437
Andy,MCNULTY Brandon,149
Andy,ALMEIDA João,242
Andy,GRÉGOIRE Romain,705
Andy,MOSCHETTI Matteo,221
Andy,YATES Adam,390
Andy,UIJTDEBROEKS Cian,227
Dave,VAUQUELIN Kévin,417
Dave,CICCONE Giulio,439
Dave,GALL Felix,857
Dave,DEL TORO Isaac,857
Dave,MARTINEZ Lenny,817
Dave,POWLESS Neilson,0
Dave,GIRMAY Biniam,383
Dave,JEANNIÈRE Emilien,215
Mike,DE LIE Arnaud,387
Mike,SKJELMOSE Mattias,485
Mike,MAGNIER Paul,600
Mike,VAN DER POEL Mathieu,950
Mike,CARAPAZ Richard,110
Mike,NYS Thibau,0
Mike,SEIXAS Paul,1262
Mike,GEE Derek,480
Campbell,VAN AERT Wout,759
Campbell,LIPOWITZ Florian,792
Campbell,MILAN Jonathan,544
Campbell,SCARONI Christian,766
Campbell,WRIGHT Fred,185
Campbell,PELLIZZARI Giulio,727
Campbell,STORER Michael,443
Campbell,DEL GROSSO Tibor,224
Joe,PIDCOCK Joseph,0
Joe,CRAPS Lars,8
Joe,JAKOBSEN Fabio,5
Joe,SÖDERQVIST Jakob,279
Joe,WIDAR Jarno,58
Joe,HIRSCHI Marc,66
Joe,WANG Gustav,33
Joe,POGAČAR Tadej,1720
Gemini's Hipsters,BISIAUX Léo,222
Gemini's Hipsters,NORDHAGEN Jørgen,375
Gemini's Hipsters,LAMPERTI Luke,255
Gemini's Hipsters,AUGUST Andrew,141
Gemini's Hipsters,AGOSTINACCHIO Filippo,8
Gemini's Hipsters,FINN Lorenzo,0
Gemini's Hipsters,TULETT Ben,296
Gemini's Hipsters,ABRAHAMSEN Jonas,189
